,Berkeley,SanFrancisco,Oakland,SanJose,PaloAlto,RedwoodCity,SanMateo,Alameda,Hayward,Richmond
Berkeley,0,13.9,5.2,45.6,42.6,39.9,38.4,9.1,19.7,7.6
SanFrancisco,13.9,0,12.3,48.1,33,26.5,19.1,15.6,26.9,17.8
Oakland,5.2,12.3,0,40.6,34.7,34.8,30.5,4.1,17.9,11.7
SanJose,45.6,48.1,40.6,0,17.6,24.2,30.4,38,27.2,52.5
PaloAlto,42.6,33,34.7,17.6,0,6.5,15.7,32.3,21.5,46.9
RedwoodCity,39.9,26.5,34.8,24.2,6.5,0,8.4,32,21.2,46.6
SanMateo,38.4,19.1,30.5,30.4,15.7,8.4,0,28,17.2,42.6
Alameda,9.1,15.6,4.1,38,32.3,32,28,0,12.6,15.9
Hayward,19.7,26.9,17.9,27.2,21.5,21.2,17.2,12.6,0,26.2
Richmond,7.6,17.8,11.7,52.5,46.9,46.6,42.6,15.9,26.2,0
